scope_item_id,author_id,audit_item_id,proposal_no
scope-0646,author_a,audit-0089,2
scope-0647,author_a,audit-0007,3
scope-0648,author_a,audit-0053,3
scope-0649,author_a,audit-0077,3
scope-0650,author_a,audit-0016,3
scope-0651,author_a,audit-0100,3
scope-0652,author_a,audit-0061,2
scope-0653,author_a,audit-0041,3
scope-0654,author_a,audit-0047,2
scope-0655,author_b,audit-0073,1
scope-0656,author_b,audit-0042,3
scope-0657,author_b,audit-0096,3
scope-0658,author_a,audit-0024,1
scope-0659,author_b,audit-0093,1
scope-0660,author_b,audit-0117,2
scope-0661,author_b,audit-0069,2
scope-0662,author_b,audit-0017,2
scope-0663,author_a,audit-0014,2
scope-0664,author_b,audit-0075,1
scope-0665,author_b,audit-0103,1
scope-0666,author_b,audit-0009,3
